Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      904     0.00     0.00  void std::allocator_traits<std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >&, std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00      904     0.00     0.00  void std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::emplace_back<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00      904     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::push_back(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00      904     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::operator[](unsigned long)
  0.00      0.00     0.00      901     0.00     0.00  Game::convertGLXCoordinate(int)
  0.00      0.00     0.00      901     0.00     0.00  Game::convertGLYCoordinate(int)
  0.00      0.00     0.00      880     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00      870     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.00     0.00      841     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::~unique_ptr()
  0.00      0.00     0.00      814     0.00     0.00  std::pair<int, int> const& std::forward<std::pair<int, int> const&>(std::remove_reference<std::pair<int, int> const&>::type&)
  0.00      0.00     0.00      813     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00      750     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_propagate_on_copy_assign()
  0.00      0.00     0.00      750     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00      0.00     0.00      750     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00      733     0.00     0.00  GameField::getTurnCount()
  0.00      0.00     0.00      726     0.00     0.00  std::default_delete<Menu>&& std::forward<std::default_delete<Menu> >(std::remove_reference<std::default_delete<Menu> >::type&)
  0.00      0.00     0.00      720     0.00     0.00  TankDrawable::setMax_health(int)
  0.00      0.00     0.00      720     0.00     0.00  TankDrawable::draw(int, int)
  0.00      0.00     0.00      720     0.00     0.00  TankDrawable::setHealth(int)
  0.00      0.00     0.00      720     0.00     0.00  TankDrawable::TankDrawable(int, float, float, direction, int, int, float, float, bool)
  0.00      0.00     0.00      720     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_Head_base()
  0.00      0.00     0.00      720     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_M_head(std::_Head_base<1ul, std::default_delete<TankDrawable>, true>&)
  0.00      0.00     0.00      720     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_Head_base()
  0.00      0.00     0.00      720     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<TankDrawable> >(std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      720     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::get_deleter()
  0.00      0.00     0.00      720     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::release()
  0.00      0.00     0.00      720     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::unique_ptr<std::default_delete<TankDrawable>, void>(TankDrawable*)
  0.00      0.00     0.00      720     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr<TankDrawable, std::default_delete<TankDrawable>, void>(std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >&&)
  0.00      0.00     0.00      720     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_Tuple_impl()
